,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007570655613369916,0.045071283573370896,0.02942990433288071,8919,5058,1047.7
16,16,[],3,1,1,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00863012166939036,0.04720883926567321,0.031069060219006916,9149,5070,1021.81
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008947020783980296,0.048484306267635335,0.03200639755883424,8944,5061,1048.58
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007552641544779344,0.04538538432701493,0.029648577173642342,8937,5058,1042.2
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007539323200610177,0.046124046141770916,0.030080771553243214,8919,5058,1178.05
20,20,[],3,1,1,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008891948233379125,0.048670175172029484,0.03217879102158378,9149,5070,1174.44
21,21,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008960472346576705,0.04961201776940382,0.03279060637397617,8944,5061,1126.99
22,22,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007548333809227852,0.04547713075467754,0.029630675142307134,8937,5058,1072.99
23,23,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007739565016789125,0.0452094773147923,0.029568703511499598,8919,5058,1105.68
24,24,[],3,1,2,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009237747493868461,0.04973093382019955,0.032718511461410506,9149,5070,1326.58
25,25,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00939274049682905,0.050232018089871884,0.03306983811900314,8944,5061,1327.32
26,26,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00806074437153911,0.047189607243496176,0.0307074119260747,8937,5058,1304.68
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00823016913063895,0.04809969246527061,0.031243659662013964,8919,5058,1331.54
28,28,[],3,1,2,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009189811464162208,0.05056259587981372,0.03321455208405173,9149,5070,3076.26
29,29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009664656135403654,0.05131702715326021,0.033911432281735536,8944,5061,1335.03
30,30,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00792377928535649,0.04676647466724084,0.030323593787602483,8937,5058,1324.39
31,31,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00806641135787762,0.048234120367906363,0.03140277812977226,8919,5058,1334.96
32,32,[],3,1,2,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009123939526710758,0.04995447068075494,0.032779879911780614,9149,5070,1364.88
33,33,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009639542363267615,0.05089798350118943,0.033550396371439944,8944,5061,1385.92
34,34,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008112665966173278,0.04911142402594374,0.031905334679454035,8937,5058,1344.56
