,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.00858555820791786,0.04746983502238983,0.031081303848204178,0.03678007563810124,0.04117623043670374,4732,2679,401.28
16,16,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.007390027899766111,0.042661210885693565,0.02752716423368312,0.032232910267770004,0.03549103335079738,4729,2677,385.33
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.007662094890230296,0.044805697550301254,0.02895140033250756,0.033895807369229904,0.0373455864777791,4719,2677,401.87
18,18,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.009352776641148818,0.05243669862015676,0.033624196068290896,0.03935727775565198,0.04308838912341138,2338,1654,218.09
19,19,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.01042113757792105,0.06148990013103482,0.04053194716408597,0.047682962116640464,0.05263868815319296,4841,2684,405.54
20,20,[],3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.00870850974837067,0.0466450142223808,0.030697242326335413,0.03639370932113806,0.04076371924204994,4841,2684,395.55
21,21,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.008695505227367806,0.04875713782900657,0.031158906602872537,0.03642485044799531,0.039998770553349355,2419,1659,218.18
22,22,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.00857526871609104,0.04682478488032013,0.030822609019819827,0.03656047078828661,0.0409762956512304,4746,2676,391.67
23,23,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.009196857754884049,0.04969758949397345,0.03275267838806252,0.0387951296558727,0.043490382384942496,4731,2510,395.26
24,24,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.008574403085357882,0.048697163246798174,0.031883260675552486,0.03772250944847401,0.04199384854129946,4586,2654,383.61
