counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016949047,0.08260217,490,318,35.4
18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017178018,0.082449681,489,318,33.03
19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017315325,0.082351753,486,318,35.77
20,[],3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017647886,0.08403427,510,321,50.47
21,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017669828,0.084058372,510,321,51.44
22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017357757,0.083760153,490,318,50.53
23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017154292,0.083496128,489,318,49.29
24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.016948174,0.081583254,486,318,50.98
25,[],3,1,2,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017777076,0.085664267,510,321,50.37
26,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017704243,0.085715706,510,321,51.24
27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016838754,0.081792466,490,318,50.57
28,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.01717286,0.082426973,489,318,48.89
29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016783691,0.082085642,486,318,50.26
30,[],3,1,3,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017812768,0.084807426,510,321,67.55
31,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,3,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017825103,0.085663935,510,321,68.25
32,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017408366,0.083772051,490,318,66.99
33,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017149322,0.08306769,489,318,65.23
34,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.016849151,0.081734342,486,318,67.13
35,[],3,1,3,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017906432,0.086177993,510,321,66.84
36,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,3,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017910656,0.087305013,510,321,68.28
37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017577581,0.084866406,490,318,66.05
