,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
67,67,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007771399,0.046244891,0.030159895,8919,5058,848.46,1
68,68,[],3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009467069,0.050576234,0.033297699,9149,5070,1188.35,1
69,69,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009615313,0.051806974,0.034170698,8944,5061,1200.46,1
70,70,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008083513,0.04704193,0.030523805,8937,5058,1192.4,1
71,71,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008390173,0.047537749,0.030945454,8919,5058,1218.72,1
72,72,[],3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020942253,0.086357662,0.058089468,9149,5070,1547.77,1
73,73,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019946035,0.083472609,0.05623131,8944,5061,1537.24,1
74,74,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020564487,0.08477821,0.056805909,8937,5058,1538.28,1
75,75,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019498466,0.085302455,0.057213471,8919,5058,1551.49,1
76,76,[],3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020135238,0.084325256,0.056830401,9149,5070,1945.2,1
77,77,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.021173924,0.08537113,0.057586595,8944,5061,2023.55,1
78,78,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019551721,0.082875413,0.055625158,8937,5058,2122.69,1
79,79,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019686959,0.084295242,0.056636857,8919,5058,2195.78,1
80,80,[],5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008857962,0.047668276,0.031524073,8905,5056,560.47,1
81,81,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008953607,0.051576246,0.034124805,8697,5045,542.99,1
82,82,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007657628,0.044098159,0.028931964,8690,5040,498.93,1
83,83,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007871076,0.044757869,0.02926756,8670,5040,551.85,1
84,84,[],5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009091208,0.048666537,0.032137688,8905,5056,868.87,1
85,85,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009375143,0.049560806,0.032746546,8697,5045,906.47,1
86,86,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008377255,0.047770849,0.031301753,8690,5040,832.92,1
87,87,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007707031,0.045310677,0.02956083,8670,5040,895.63,1
88,88,[],5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.00992564,0.051533861,0.034057934,8905,5056,1214.14,1
89,89,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.00989738,0.051659637,0.034095539,8697,5045,1228.65,1
90,90,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008716136,0.047629523,0.031053945,8690,5040,1188.86,1
91,91,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008168252,0.045796421,0.029760734,8670,5040,1418.63,1
92,92,[],5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020285353,0.083114462,0.055785816,8905,5056,1725.02,1
93,93,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020565205,0.083567401,0.056207314,8697,5045,1737.33,1
94,94,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019569505,0.081009229,0.054229901,8690,5040,1620.92,1
95,95,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.01979259,0.081714322,0.05470701,8670,5040,1824.98,1
96,96,[],5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020396875,0.083083929,0.055938605,8905,5056,2001.7,1
97,97,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020918961,0.08414883,0.056721289,8697,5045,1941.22,1
98,98,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019162457,0.081000625,0.054394477,8690,5040,1893.34,1
99,99,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019277779,0.080911473,0.05442806,8670,5040,1985.86,1
100,100,[],7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008914091,0.049010772,0.032330222,8710,5042,557.22,1
101,101,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009327077,0.052028954,0.034299473,8497,5029,609.82,1
102,102,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007810964,0.04411254,0.028813442,8490,5022,566.71,1
103,103,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008287323,0.04700931,0.03094862,8468,5022,616.48,1
104,104,[],7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009983011,0.053842036,0.035660984,8710,5042,898.21,1
105,105,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.01045069,0.054865814,0.036348814,8497,5029,950.37,1
106,106,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008689534,0.048207487,0.03158381,8490,5022,912.51,1
107,107,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009268422,0.050298753,0.033003155,8468,5022,962.81,1
108,108,[],7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009805856,0.051737652,0.034082614,8710,5042,1256.57,1
109,109,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009940922,0.053037727,0.035008739,8497,5029,1313.92,1
110,110,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008571065,0.048313077,0.031527723,8490,5022,1255.58,1
111,111,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008627827,0.04839567,0.031649175,8468,5022,1314.06,1
112,112,[],7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020349821,0.083825207,0.056328176,8710,5042,1606.13,1
113,113,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020857765,0.084591494,0.056838905,8497,5029,1559.43,1
114,114,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019223291,0.080982355,0.054298664,8490,5022,1617.93,1
115,115,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020038924,0.081936006,0.054998444,8468,5022,1680.9,1
116,116,[],7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020609757,0.08383647,0.056455548,8710,5042,1944.67,1
117,117,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.020572595,0.083541378,0.056356764,8497,5029,1862.31,1
118,118,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019760148,0.083133912,0.055796929,8490,5022,1951.97,1
119,119,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.019201671,0.08201182,0.055076063,8468,5022,2026.27,1
120,120,[],3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.008627281,0.04747526,0.03130388,9149,5070,462.16,1
121,121,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009044697,0.049704078,0.032848649,8944,5061,483.82,1
122,122,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.007634047,0.044877521,0.029278579,8937,5058,463.01,1
123,123,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.007738181,0.045712481,0.029936612,8919,5058,492.32,1
124,124,[],3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009118514,0.0477622,0.031526592,9149,5070,821.18,1
125,125,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.00901268,0.048061407,0.031722075,8944,5061,843.21,1
126,126,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.007653328,0.046284651,0.030112285,8937,5058,801.48,1
127,127,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.00761173,0.045196817,0.029415201,8919,5058,853.57,1
128,128,[],3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009422617,0.050278355,0.033015925,9149,5070,1217.37,1
129,129,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009827564,0.050555519,0.033342298,8944,5061,1229.36,1
130,130,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.008131871,0.047749979,0.031021298,8937,5058,1203.51,1
131,131,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.008331155,0.047876355,0.031093317,8919,5058,1226.79,1
132,132,[],3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.021428249,0.090188285,0.060622744,9149,5070,1559.27,1
133,133,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.020814352,0.085602776,0.057646679,8944,5061,1553.52,1
134,134,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.019243568,0.086334138,0.05793436,8937,5058,1538.75,1
135,135,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.020239615,0.088993476,0.059733194,8919,5058,1576.36,1
136,136,[],3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.020190989,0.084103212,0.056722672,9149,5070,1964.45,1
137,137,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.021157581,0.085060224,0.057345249,8944,5061,1917.08,1
138,138,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.01918194,0.082415476,0.055443601,8937,5058,2093.5,1
139,139,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.020311657,0.087215282,0.058796584,8919,5058,1989.08,1
140,140,[],5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.008986743,0.048543507,0.032130698,8905,5056,510.69,1
141,141,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009000485,0.048623635,0.032019156,8697,5045,552.3,1
142,142,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.007739351,0.04430238,0.02903971,8690,5040,520.39,1
143,143,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.007865356,0.045700678,0.029927505,8670,5040,570.64,1
144,144,[],5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009072201,0.048369571,0.031881411,8905,5056,889.02,1
145,145,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.009444738,0.050299131,0.033269605,8697,5045,918.5,1
146,146,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,130,0.2,relu,Adam,0.0081329,0.049716181,0.032568481,8690,5040,848.41,1
