,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019169207,0.08269066,0.055306637,8919,5058,1634.96,1
16,16,[],3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020769484,0.08519464,0.057430459,9149,5070,2181.82,1
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020319497,0.084525836,0.056998968,8944,5061,2014.9,1
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019457511,0.083523785,0.056079167,8937,5058,1885.56,1
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019608578,0.082600964,0.055544975,8919,5058,1906.81,1
20,20,[],5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.0089187,0.047885987,0.031713772,8905,5056,496.06,1
21,21,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009122987,0.049258457,0.032619636,8697,5045,543.34,1
22,22,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007776178,0.045813709,0.030009673,8690,5040,504.3,1
23,23,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007701426,0.044275279,0.028958453,8670,5040,550.64,1
24,24,[],5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008806121,0.049110547,0.032446889,8905,5056,852.52,1
