,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
14,14,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007995933478582613,0.04730168014631009,0.030504765606085865,0.03568024751407307,0.03908274000962945,4719,2677,251.17
15,15,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.009113343609057648,0.050952039457134626,0.03258430247782221,0.03811781797512675,0.04159195528817124,2419,1659,133.61
16,16,[],3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00803558987789901,0.04482529182299255,0.029146464717172735,0.03432594380286435,0.03812384895260359,4841,2684,248.92
17,17,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008077783807623636,0.04478145112993493,0.02912578730447194,0.034211347851265894,0.03793948909383116,4746,2676,246.04
18,18,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00890434776831972,0.04977945731721868,0.03252234230988689,0.03826833473834452,0.042404698390366924,4731,2510,252.77
19,19,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.0081147287909481,0.04559631749969875,0.029654639378886027,0.0348377421841998,0.0386003097075866,4586,2654,243.18
20,20,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008216647711995767,0.046651083773567546,0.030360087887065033,0.035640043219451197,0.03944905866425808,4732,2679,262.62
21,21,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.0074566896441308796,0.04349945868702812,0.027930518858175418,0.032575102087584115,0.03569058873494634,4729,2677,245.2
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00761544454963171,0.044459366501710874,0.028602222507815623,0.033396484699522194,0.03659100643520681,4719,2677,265.09
23,23,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008909878040046707,0.0489738485036638,0.03128547441052719,0.03651439213912441,0.039700785870901874,2419,1659,142.12
24,24,[],3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008061422476293866,0.045529705029838066,0.02958462538050754,0.034789146092802606,0.03857755923496684,4841,2684,235.85
25,25,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00802933459962537,0.04527362896781858,0.029381511658769555,0.03457389665956643,0.03827124209277164,4746,2676,230.55
26,26,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.009308522150756946,0.051072129638468605,0.033450506093749506,0.039405221057623646,0.04371807900359231,4731,2510,238.9
27,27,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008065075796654856,0.04511703286779775,0.02931515117605544,0.03442441229402232,0.03808917828392403,4586,2654,229.98
28,28,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008522250237968975,0.047760563025914714,0.031118787080187626,0.03659767364912679,0.040515531937953986,4732,2679,247.52
29,29,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007391756964465521,0.04312486160911738,0.027675469916701466,0.03235094987975563,0.035441823263735676,4729,2677,232.47
30,30,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007446887323618865,0.04374107856132689,0.028144959621803873,0.03298870962719026,0.03626265243751146,4719,2677,249.95
31,31,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008853429862262719,0.04868731359383158,0.03105286119598717,0.036171987144005234,0.039357808930935795,2419,1659,133.65
32,32,[],3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00814491141349287,0.04671729426633968,0.030372319389180065,0.035772846184673135,0.039591798979939974,4841,2684,250.39
33,33,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00827060880117735,0.04682566235945436,0.030508252023888145,0.036030346057513714,0.039744840409312046,4746,2676,242.93
34,34,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.009610909238447336,0.04961183902360311,0.03253146422610955,0.038459651884346725,0.04275122043255427,4731,2510,251.13
