,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,ACTIVATION1,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
89,89,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.01678275354764703,0.07998648682311851,532,332,108.18
90,90,[],1,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.018074080999917315,0.08828591137812386,546,333,137.13
91,91,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017643906870599378,0.0870576010469632,546,333,141.21
92,92,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.01819051444233305,0.08594569918661846,534,332,138.93
93,93,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017206190317403492,0.08431294784672862,533,332,142.16
94,94,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.016908026181613037,0.08368271870272977,532,332,138.98
95,95,[],1,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018164413686041644,0.08945053739234235,546,333,168.92
96,96,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.017687737284753945,0.08648550263796051,546,333,172.33
97,97,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018322719945800172,0.08851844477969695,534,332,170.83
98,98,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.01722055365275967,0.08477371515721124,533,332,170.49
99,99,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.016837193610550104,0.08369938203449209,532,332,175.78
100,100,[],3,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.021381575039684127,0.10110794332727442,510,321,85.27
101,101,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017964450746499404,0.08491729156703243,510,321,87.41
102,102,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017876147417652415,0.08403564422771481,490,318,85.03
103,103,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017396442093026418,0.08334052952103922,489,318,83.57
104,104,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.01659186328399735,0.08182891586438452,486,318,84.73
105,105,[],3,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.017980795486629376,0.08615224283031539,510,321,111.86
106,106,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.017723800285283538,0.08413255065444368,510,321,118.1
107,107,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.017264763763815687,0.0844461724637415,490,318,112.36
108,108,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.0172668254687842,0.0837435349092136,489,318,109.23
109,109,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.016909019026790782,0.08238726076077958,486,318,111.64
110,110,[],3,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017827539021458495,0.08608054685013299,510,321,141.01
111,111,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017968990391575995,0.08524747429655224,510,321,143.04
112,112,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017830455480303653,0.08805149115350844,490,318,143.61
113,113,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.01724738562057359,0.08295527642899596,489,318,138.71
114,114,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.0171693652278253,0.08422004931191177,486,318,140.49
115,115,[],3,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.0183089397968551,0.08896298130716793,510,321,170.9
116,116,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.01757268880392725,0.08399658812267144,510,321,177.89
117,117,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017639748412570697,0.08495550832241278,490,318,169.34
118,118,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017350959331240513,0.0845430510461407,489,318,167.52
119,119,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.01724997228974312,0.08446930785796129,486,318,169.24
120,120,[],3,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018539047162113628,0.0916124542111782,510,321,206.21
121,121,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.017996955493789903,0.08903657717148228,510,321,204.61
122,122,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018415925187468728,0.0912226749176068,490,318,198.12
123,123,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.017689028378054285,0.08841648310525321,489,318,202.14
124,124,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.017717220692328665,0.08840011722538024,486,318,199.04
125,125,[],5,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.02735196598407518,0.11806408502170504,491,309,120.49
126,126,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.01814254355765343,0.08668712657535296,491,309,123.63
127,127,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.01766763062304763,0.08355598000529799,463,304,119.33
128,128,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017556271389991288,0.08394184813482695,462,304,117.8
129,129,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.016877485424376087,0.08346026766720305,457,304,119.3
130,130,[],5,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01906398044291991,0.09223491669640752,491,309,144.39
131,131,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01829460610556856,0.0858047070609401,491,309,147.27
132,132,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01772195041524883,0.08505574573627094,463,304,142.63
133,133,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01738115472689145,0.08460437770972053,462,304,145.84
134,134,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01679523574826671,0.0824894049923913,457,304,143.25
135,135,[],5,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.01882653777777406,0.09041884565582357,491,309,171.87
136,136,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017942805140348274,0.08558656559296868,491,309,175.05
137,137,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017740558937414344,0.08299619146980142,463,304,169.82
138,138,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017144103393771624,0.08358673054924984,462,304,167.44
139,139,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.01731269225262369,0.0826661018284878,457,304,175.53
140,140,[],5,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.01834078172913374,0.08865022432929286,491,309,201.68
141,141,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.018119453495855673,0.08667738670111247,491,309,203.78
142,142,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017913176238737193,0.08544150472423644,463,304,197.75
143,143,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017323569005390078,0.08554374992965134,462,304,195.94
144,144,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,False,2,100,relu,0.2,60,relu,Adam,0.017712969470068916,0.08400224876746396,457,304,204.91
145,145,[],5,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018502264698788046,0.09065178611322844,491,309,232.32
146,146,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018631454930282183,0.09316131012886461,491,309,233.09
147,147,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.01917451620967703,0.09366785430836574,463,304,226.05
148,148,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.017626474573037714,0.08760606467925106,462,304,231.69
149,149,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,False,2,100,relu,0.2,60,relu,Adam,0.018270420552034917,0.0908538575395251,457,304,228.67
150,150,[],1,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.027345113418362463,0.11776798875198162,546,333,66.69
151,151,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.01932856604684066,0.08900685405074371,546,333,67.19
152,152,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.01738665038951219,0.08317900977962786,534,332,68.05
153,153,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.017380034859286658,0.08334804256176101,533,332,66.86
154,154,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.01674793868004551,0.08146032385120999,532,332,67.95
155,155,[],1,1,1,haar,False,3,100,relu,0.2,60,relu,Adam,0.018069797729086887,0.08410957736917593,546,333,107.14
156,156,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,1,haar,False,3,100,relu,0.2,60,relu,Adam,0.017725247299143234,0.08560296036713452,546,333,107.96
157,157,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,1,haar,False,3,100,relu,0.2,60,relu,Adam,0.0170827251477167,0.08333951755377911,534,332,114.93
158,158,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,3,100,relu,0.2,60,relu,Adam,0.017285461905782264,0.08419282998067278,533,332,108.2
159,159,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,3,100,relu,0.2,60,relu,Adam,0.01679246610483552,0.08279925815942663,532,332,108.56
160,160,[],1,1,2,haar,False,3,100,relu,0.2,60,relu,Adam,0.017993788095194238,0.08742198527999386,546,333,146.88
161,161,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,2,haar,False,3,100,relu,0.2,60,relu,Adam,0.017687467366432286,0.08652106516822436,546,333,146.37
162,162,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,2,haar,False,3,100,relu,0.2,60,relu,Adam,0.01818479429606451,0.08683367175478107,534,332,147.65
163,163,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,2,haar,False,3,100,relu,0.2,60,relu,Adam,0.017203077593079076,0.08428339744877562,533,332,154.41
164,164,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,2,haar,False,3,100,relu,0.2,60,relu,Adam,0.017059975845200154,0.0835390375898443,532,332,149.04
165,165,[],1,1,3,haar,False,3,100,relu,0.2,60,relu,Adam,0.01808882920620619,0.08748528859561591,546,333,186.09
166,166,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,3,haar,False,3,100,relu,0.2,60,relu,Adam,0.017846776403248332,0.08745143944868347,546,333,186.99
167,167,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,3,haar,False,3,100,relu,0.2,60,relu,Adam,0.018477018463586126,0.08865466872970015,534,332,188.18
168,168,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,3,100,relu,0.2,60,relu,Adam,0.017367511284997854,0.08508836742016666,533,332,195.82
169,169,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,3,100,relu,0.2,60,relu,Adam,0.016748972042597277,0.0826192085032027,532,332,188.81
170,170,[],1,1,4,haar,False,3,100,relu,0.2,60,relu,Adam,0.01824159958292916,0.08880978307110082,546,333,228.46
171,171,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,4,haar,False,3,100,relu,0.2,60,relu,Adam,0.017785896594757503,0.08698522236177919,546,333,228.65
172,172,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,4,haar,False,3,100,relu,0.2,60,relu,Adam,0.018378333743736618,0.0888924406616811,534,332,240.39
173,173,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,3,100,relu,0.2,60,relu,Adam,0.017372465393918145,0.08595746536077987,533,332,231.04
174,174,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,3,100,relu,0.2,60,relu,Adam,0.0169068215457328,0.08380675337387687,532,332,232.66
175,175,[],3,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.02738522095723824,0.11724874101760305,510,321,125.39
176,176,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.025593732239438307,0.11538694070695069,510,321,127.41
177,177,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.02505548800122165,0.11338209090753942,490,318,123.09
178,178,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,3,100,relu,0.2,60,relu,Adam,0.026241701015967886,0.11438625789184845,489,318,122.28
