,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,ACTIVATION1,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017026645947188564,0.08248651062985946,533,332,97.56
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.016958962100480694,0.08342960893797688,532,332,97.35
20,20,[],1,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018408824802684895,0.08954871818523799,546,333,117.89
21,21,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018115242238615006,0.08983101502780662,546,333,118.45
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.01786467358139366,0.08771910521002294,534,332,120.19
23,23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.017089526197163855,0.08394806372811925,533,332,120.67
24,24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.016643949465427934,0.08257983743313452,532,332,120.14
25,25,[],3,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.022710927780457576,0.11127926794309914,510,321,48.15
26,26,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.018143261582837578,0.08827111818249529,510,321,49.65
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01724491854550409,0.08182531402325322,490,318,49.68
28,28,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.0174085604342323,0.08302011234035712,489,318,47.67
29,29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.016758931448668062,0.08332243280598242,486,318,48.99
30,30,[],3,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.01766289276548519,0.08515091614858578,510,321,69.49
31,31,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017787541108954617,0.08540272262892115,510,321,70.65
32,32,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017160948003949475,0.0843507292210573,490,318,70.15
33,33,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017189513128459268,0.08369400492624865,489,318,67.54
34,34,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.016712918031638997,0.08272278842502567,486,318,68.9
35,35,[],3,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017892752237996672,0.0854391474126053,510,321,91.08
36,36,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017755992222632758,0.08618978202666076,510,321,91.17
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.01757860417122983,0.08591017998281361,490,318,90.78
38,38,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.01703780598760808,0.08268911401881923,489,318,88.07
39,39,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.016938023003460152,0.08316227097598533,486,318,89.78
40,40,[],3,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.01823097909490995,0.08837202973201297,510,321,112.41
41,41,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017838622750699626,0.08733764685445897,510,321,112.81
42,42,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017524689201233713,0.08535259542438103,490,318,111.5
43,43,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017124288531070366,0.08362314232257208,489,318,109.67
44,44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.01700183118725159,0.08269786727792364,486,318,111.9
45,45,[],3,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018546186795831643,0.09144831980123555,510,321,132.24
46,46,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018164973893798973,0.08859445317635475,510,321,134.66
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.017709863883379535,0.08635701723843021,490,318,130.49
48,48,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.01724370157186691,0.08441840017748425,489,318,132.19
49,49,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.017089525028260916,0.0831845423582995,486,318,131.94
50,50,[],5,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.017854968334456843,0.08519273117139387,491,309,65.39
51,51,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.018311212473238143,0.08631893336314944,491,309,67.61
52,52,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.017351683718517544,0.08150198150630195,463,304,65.9
53,53,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.017482662262553787,0.08317780604383579,462,304,64.08
54,54,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01671782498400639,0.08224388832979715,457,304,67.9
55,55,[],5,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017866306620883562,0.08465279720089874,491,309,83.68
56,56,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.01807576639818663,0.08792377869520783,491,309,85.66
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017221249792865923,0.0831418664206713,463,304,83.11
58,58,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017196028726396452,0.08240504734396742,462,304,81.55
