,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
14,14,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01778986810263969,0.08275614187670327,546,333,59.29
15,15,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.02031088300388512,0.09700407733395688,268,183,34.2
16,16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.02066953576104337,0.10016234300066643,268,183,34.48
17,17,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.019493556196636744,0.09392162779121338,260,182,33.45
18,18,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.019028156967772516,0.09163715161564037,260,182,32.98
19,19,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01794719779401595,0.08635893088845625,536,331,60.49
20,20,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.017707328226749013,0.0853875101283064,534,315,59.48
21,21,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01788783047188331,0.08332306138782446,510,327,57.98
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.017678371417140452,0.084087921030076,534,332,59.46
23,23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01714157727082067,0.08099212585841796,533,332,58.99
24,24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.016669408339818614,0.0822438957783328,532,332,68.91
25,25,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.016857143500166386,0.0812778856895167,532,332,75.67
26,26,[],1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.01776896771405136,0.08508518843444975,546,333,76.5
27,27,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.022045839463284866,0.08807207963423783,546,333,74.37
28,28,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.020463928270379125,0.09718542916457602,268,183,41.16
29,29,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.020292559088601576,0.0957791672720589,268,183,41.96
30,30,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.020614101032130176,0.09288119935306295,260,182,40.75
31,31,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.019354793823472233,0.09308721488318976,260,182,40.52
32,32,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.01793797917905781,0.08539800511928661,536,331,74.42
33,33,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.018383261538711514,0.08712537810318627,534,315,72.43
34,34,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.01787229411467821,0.08305150501844849,510,327,69.02
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.016934920790328337,0.08142715098812381,534,332,72.32
