,counter,col_selection,HISTORY,STEP_FACTOR,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
15,15,[],1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017741621648799187,0.08467607613564702,546,333,84.81
16,16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01770805292900442,0.08522491301680955,546,333,85.45
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01681129005684865,0.08094356969756694,534,332,86.4
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01740441052279657,0.083078569548286,533,332,85.67
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.016578377484126598,0.08093372186219291,532,332,86.16
20,20,[],1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017744603641535517,0.08526064734977706,546,333,82.92
21,21,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.0176316759285716,0.08582452438429244,546,333,83.01
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01712237468228936,0.08243317008070251,534,332,84.01
23,23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01723166766654178,0.082617515827407,533,332,82.77
24,24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.016873070825020632,0.0813798814630593,532,332,83.91
25,25,[],1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017609162005954693,0.08461942531879335,546,333,82.28
26,26,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017568108699127612,0.08490211213927817,546,333,82.23
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017383159930737444,0.08366011380415361,534,332,83.72
28,28,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01731326410340739,0.08298382419648495,533,332,82.08
29,29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017092835721975244,0.08143112567306676,532,332,83.18
30,30,[],1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.018010508428017005,0.08661900770065849,546,333,110.7
31,31,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01757478323575037,0.08668433492887717,546,333,111.69
32,32,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017003950171846315,0.08375215463611513,534,332,111.43
33,33,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017471945156839176,0.08505918545807015,533,332,112.37
34,34,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.016754455268963128,0.08254781636148778,532,332,111.78
35,35,[],1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017937622206173905,0.0876548815657294,546,333,111.51
36,36,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01767877650441997,0.08605294680375691,546,333,108.88
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017577195881303593,0.08281050870818614,534,332,109.61
38,38,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01760178451479112,0.0851679746332398,533,332,109.11
39,39,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01726560658359473,0.08368131171447017,532,332,110.66
40,40,[],1,1,32,2,same,1,relu,True,4,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01781839516259118,0.08702324673664727,546,333,110.09
41,41,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,4,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01775782272746557,0.0859627824974987,546,333,110.76
42,42,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,4,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01743309921124899,0.08342657392838307,534,332,108.69
43,43,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017361803341759473,0.08328852457631927,533,332,111.15
44,44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017048853892144257,0.08216710995608063,532,332,109.22
45,45,[],1,1,32,2,same,1,relu,True,2,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.0179343877520678,0.08787186318459334,546,333,142.27
46,46,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.01800143661437534,0.08980595185462215,546,333,136.87
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.018239815658577994,0.0876194261836652,534,332,141.54
48,48,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.017325048849595556,0.08492060471320513,533,332,140.26
49,49,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.01720881397211033,0.08400837894590804,532,332,139.8
50,50,[],1,1,32,2,same,1,relu,True,3,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.01814785380150885,0.08855176018899949,546,333,140.53
51,51,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.0177131569534617,0.08737912572770137,546,333,135.89
52,52,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.018233624333208694,0.0881486467840066,534,332,140.47
53,53,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.017426232621506867,0.08550577149259839,533,332,137.25
54,54,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.017105488320084856,0.08316235505721903,532,332,139.78
55,55,[],1,1,32,2,same,1,relu,True,4,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.01809168906122781,0.08809910840813787,546,333,137.98
56,56,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,4,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.017802126442247112,0.08936881874090474,546,333,136.95
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,4,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.018250498947602813,0.08691492949041234,534,332,140.78
58,58,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.01726740452024783,0.08394031765566944,533,332,137.79
59,59,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,4,haar,False,1,100,relu,0.2,100,relu,Adam,0.016676744717916026,0.08177038202448797,532,332,137.22
60,60,[],1,1,32,3,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01770207006519537,0.08573621882142621,546,333,61.23
61,61,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,3,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01772622146422303,0.08566257356545479,546,333,58.82
62,62,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,3,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017232502971065045,0.08207991877658369,534,332,59.99
63,63,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017187385522077613,0.08244602790586167,533,332,59.09
64,64,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01629060398055213,0.08028154425572277,532,332,59.49
65,65,[],1,1,32,3,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01757997756626555,0.08416860673899246,546,333,57.41
66,66,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,3,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017402449203126114,0.08492845090198077,546,333,57.2
