,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
14,14,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017490724943640498,0.08552879678180489,546,333,53.99
15,15,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.020219207593172386,0.09690534508593393,268,183,30.99
16,16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019971412547319004,0.09614587188842483,268,183,32.44
17,17,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019680160297669103,0.09574179209312184,260,182,30.83
18,18,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019520046861828646,0.09479630674116549,260,182,30.98
19,19,"['DR_REGENM_10', 'RI_REGENM_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01809183939133039,0.08695356036700908,536,331,54.1
20,20,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017963321834783615,0.08552072678086456,534,315,54.94
21,21,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017498021717224588,0.08201982495450079,510,327,52.58
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017005959833490063,0.08183238884472312,534,332,55.0
23,23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01719716576945557,0.08212468009707719,533,332,53.97
24,24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.016629681335558723,0.08231424612424317,532,332,55.01
